date,open,high,low,close,volume,year,avg_stock_6days
12/10/2019,1747.400024,1750.670044,1735,1739.209961,2514300,2019,1757.8
12/11/2019,1741.670044,1750,1735.709961,1748.719971,2097600,2019,1754.74
12/12/2019,1750,1764,1745.439941,1760.329956,3095900,2019,1750.74
12/13/2019,1765,1768.98999,1755,1760.939941,2745700,2019,1750.99
12/16/2019,1767,1769.5,1757.050049,1769.209961,3145200,2019,1753.62
12/17/2019,1778.01001,1792,1777.390015,1790.660034,3644400,2019,1758.18
12/18/2019,1795.02002,1798.199951,1782.359985,1784.030029,3351400,2019,1766.12
12/19/2019,1780.5,1792.98999,1774.060059,1792.280029,2652800,2019,1772.59
12/20/2019,1799.619995,1802.969971,1782.449951,1786.5,5150800,2019,1780.86
12/23/2019,1788.26001,1793,1784.51001,1793,2136400,2019,1784.74
12/24/2019,1793.810059,1795.569946,1787.579956,1789.209961,881300,2019,1789.2
12/26/2019,1801.01001,1870.459961,1799.5,1868.77002,6005400,2019,1793.04
12/27/2019,1882.920044,1901.400024,1866.01001,1869.800049,6186600,2019,1807.69
12/30/2019,1874,1884,1840.619995,1846.890015,3674700,2019,1823.27
12/31/2019,1842,1853.26001,1832.22998,1847.839966,2506500,2019,1830.33
1/2/2020,1875,1898.01001,1864.150024,1898.01001,4029000,2020,1875
1/3/2020,1864.5,1886.199951,1864.5,1874.969971,3764400,2020,1869.75
1/6/2020,1860,1903.689941,1860,1902.880005,4061800,2020,1866.5
1/7/2020,1904.5,1913.890015,1892.040039,1906.859985,4044900,2020,1876
1/8/2020,1898.040039,1911,1886.439941,1891.969971,3508000,2020,1880.41
1/9/2020,1909.890015,1917.819946,1895.800049,1901.050049,3167300,2020,1885.32
1/10/2020,1905.369995,1906.939941,1880,1883.160034,2853700,2020,1890.38
1/13/2020,1891.310059,1898,1880.800049,1891.300049,2780800,2020,1894.85
1/14/2020,1885.880005,1887.109985,1858.550049,1869.439941,3440900,2020,1899.17
1/15/2020,1872.25,1878.859985,1855.089966,1862.02002,2896600,2020,1893.79
1/16/2020,1882.98999,1885.589966,1866.02002,1877.939941,2659500,2020,1891.28
1/17/2020,1885.890015,1886.640015,1857.25,1864.719971,3997300,2020,1887.28
1/21/2020,1865,1894.27002,1860,1892,3707800,2020,1880.55
1/22/2020,1896.089966,1902.5,1883.339966,1887.459961,3216300,2020,1881.35
1/23/2020,1885.109985,1889.97998,1872.76001,1884.579956,2484600,2020,1881.22
1/24/2020,1891.369995,1894.98999,1847.439941,1861.640015,3766200,2020,1884.41
1/27/2020,1820,1841,1815.339966,1828.339966,3528500,2020,1873.91
1/28/2020,1840.5,1858.109985,1830.02002,1853.25,2808000,2020,1866.34
1/29/2020,1864,1874.75,1855.02002,1858,2088000,2020,1866.18
1/30/2020,1858,1872.869995,1850.609985,1870.680054,6327400,2020,1859.83
1/31/2020,2051.469971,2055.719971,2002.27002,2008.719971,15555200,2020,1887.56
2/3/2020,2010.599976,2048.5,2000.25,2004.199951,5899100,2020,1907.43
2/4/2020,2029.880005,2059.800049,2015.369995,2049.669922,5289300,2020,1942.41
2/5/2020,2071.02002,2071.02002,2032,2039.869995,4376200,2020,1980.83
2/6/2020,2041.02002,2056.300049,2024.800049,2050.22998,3183000,2020,2010.33
2/7/2020,2041.98999,2098.530029,2038.099976,2079.280029,5095300,2020,2041
2/10/2020,2085.01001,2135.600098,2084.959961,2133.909912,5056200,2020,2046.59
2/11/2020,2150.899902,2185.949951,2136,2150.800049,5746000,2020,2069.97
2/12/2020,2163.199951,2180.25,2155.290039,2160,3334300,2020,2092.19
2/13/2020,2144.98999,2170.280029,2142,2149.870117,3031800,2020,2104.52
2/14/2020,2155.679932,2159.040039,2125.889893,2134.870117,2606200,2020,2123.63
2/18/2020,2125.02002,2166.070068,2124.110107,2155.669922,2945600,2020,2137.47
2/19/2020,2167.800049,2185.100098,2161.120117,2170.219971,2561200,2020,2151.26
2/20/2020,2173.070068,2176.790039,2127.449951,2153.100098,3131300,2020,2154.96
2/21/2020,2142.149902,2144.550049,2088,2095.969971,4646300,2020,2151.45
2/24/2020,2003.180054,2039.300049,1987.969971,2009.290039,6547000,2020,2127.82
2/25/2020,2026.420044,2034.599976,1958.420044,1972.73999,6219100,2020,2106.27
2/26/2020,1970.280029,2014.670044,1960.449951,1979.589966,5224600,2020,2080.48
2/27/2020,1934.380005,1975,1882.76001,1884.300049,8112100,2020,2041.58
2/28/2020,1814.630005,1889.76001,1811.130005,1883.75,9493800,2020,1981.84
3/2/2020,1906.48999,1954.51001,1870,1953.949951,6761700,2020,1942.56
3/3/2020,1975.369995,1996.329956,1888.089966,1908.98999,7534500,2020,1937.93
3/4/2020,1946.569946,1978,1922,1975.829956,4772900,2020,1924.62
3/5/2020,1933,1960.719971,1910,1924.030029,4748200,2020,1918.41
3/6/2020,1875,1910.869995,1869.5,1901.089966,5273600,2020,1908.51
3/9/2020,1773.859985,1862.77002,1761.290039,1800.609985,7813200,2020,1901.71
3/10/2020,1870.880005,1894.27002,1818.170044,1891.819946,7133300,2020,1895.78
3/11/2020,1857.849976,1871.319946,1801.5,1820.859985,5624800,2020,1876.19
3/12/2020,1721.97998,1765,1675,1676.609985,11346200,2020,1838.76
3/13/2020,1755,1786.310059,1680.619995,1785,8809700,2020,1809.09
3/16/2020,1641.51001,1759.449951,1626.030029,1689.150024,8917300,2020,1770.18
3/17/2020,1775.469971,1857.780029,1689.23999,1807.839966,10917100,2020,1770.45
3/18/2020,1750,1841.660034,1745,1830,9645200,2020,1750.3
3/19/2020,1860,1945,1832.650024,1880.930054,10399900,2020,1750.66
3/20/2020,1926.310059,1957,1820.72998,1846.089966,9817900,2020,1784.72
3/23/2020,1827.75,1919.400024,1812,1902.829956,7808500,2020,1796.84
3/24/2020,1951.5,1955,1900.339966,1940.099976,7147100,2020,1848.51
3/25/2020,1920.689941,1950.26001,1885.780029,1885.839966,6479100,2020,1872.71
3/26/2020,1902,1956.48999,1889.290039,1955.48999,6221300,2020,1898.04
3/27/2020,1930.859985,1939.790039,1899.920044,1900.099976,5387900,2020,1909.85
3/30/2020,1922.829956,1973.630005,1912.339966,1963.949951,6126100,2020,1909.27
3/31/2020,1964.349976,1993.02002,1944.01001,1949.719971,5123600,2020,1932.04
4/1/2020,1932.969971,1944.959961,1893,1907.699951,4121900,2020,1928.95
4/2/2020,1901.640015,1927.530029,1890,1918.829956,4336000,2020,1925.77
4/3/2020,1911.150024,1926.329956,1889.150024,1906.589966,3609900,2020,1927.3
4/6/2020,1936,1998.52002,1930.02002,1997.589966,5773200,2020,1928.16
4/7/2020,2017.109985,2035.719971,1997.619995,2011.599976,5114000,2020,1943.87
4/8/2020,2021,2044,2011.150024,2043,3977300,2020,1953.31
4/9/2020,2044.300049,2053,2017.660034,2042.76001,4655600,2020,1971.87
4/13/2020,2040,2180,2038,2168.870117,6716700,2020,1994.93
4/14/2020,2200.469971,2292,2186.209961,2283.320068,8087200,2020,2043.15
4/15/2020,2257.679932,2333.370117,2245,2307.679932,6866600,2020,2096.76
4/16/2020,2346,2461,2335,2408.189941,12038200,2020,2151.57
4/17/2020,2372.330078,2400,2316.02002,2375,7930000,2020,2210.13
4/20/2020,2389.949951,2444.97998,2386.050049,2393.610107,5770700,2020,2267.74
4/21/2020,2416.610107,2428.310059,2279.659912,2328.120117,7476700,2020,2330.51
4/22/2020,2369,2394,2351,2363.48999,4218300,2020,2358.6
4/23/2020,2399.97998,2424.219971,2382.080078,2399.449951,5066600,2020,2382.31
4/24/2020,2417,2420.429932,2382,2410.219971,3831800,2020,2394.15
4/27/2020,2443.199951,2444.879883,2363,2376,5645600,2020,2405.96
4/28/2020,2372.100098,2373.5,2306,2314.080078,5269400,2020,2402.98
4/29/2020,2330.01001,2391.889893,2310,2372.709961,4591600,2020,2388.55
4/30/2020,2419.840088,2475,2396.01001,2474,9415000,2020,2397.02
5/1/2020,2336.800049,2362.439941,2258.189941,2286.040039,9772600,2020,2386.49
5/4/2020,2256.379883,2326.97998,2256.379883,2315.98999,4865900,2020,2359.72
5/5/2020,2340,2351,2307.129883,2317.800049,3242500,2020,2342.52
5/6/2020,2329.439941,2357.449951,2320,2351.26001,3117800,2020,2335.41
5/7/2020,2374.780029,2376,2343.110107,2367.610107,3396400,2020,2342.87
5/8/2020,2372.139893,2387.23999,2357,2379.610107,3211200,2020,2334.92
5/11/2020,2374.699951,2419.669922,2372.110107,2409,3253700,2020,2341.24
5/12/2020,2411.850098,2419,2355,2356.949951,3074900,2020,2367.15
5/13/2020,2366.800049,2407.699951,2337.800049,2367.919922,4782900,2020,2371.62
5/14/2020,2361.01001,2391.370117,2353.209961,2388.850098,3648100,2020,2376.88
5/15/2020,2368.52002,2411,2356.370117,2409.780029,4235000,2020,2375.84
5/18/2020,2404.350098,2433,2384.01001,2426.26001,4366600,2020,2381.21
5/19/2020,2429.830078,2485,2428.969971,2449.330078,4320500,2020,2390.39
5/20/2020,2477.870117,2500.01001,2467.27002,2497.939941,3998100,2020,2401.4
5/21/2020,2500,2525.449951,2442.540039,2446.73999,5114400,2020,2423.6
5/22/2020,2455.01001,2469.850098,2430.129883,2436.879883,2867100,2020,2439.26
5/26/2020,2458,2462,2414.060059,2421.860107,3568200,2020,2454.18
5/27/2020,2404.98999,2413.580078,2330,2410.389893,5056900,2020,2454.28
5/28/2020,2384.330078,2436.969971,2378.22998,2401.100098,3190200,2020,2446.7
5/29/2020,2415.939941,2442.370117,2398.199951,2442.370117,3529300,2020,2436.38
6/1/2020,2448,2476.929932,2444.169922,2471.040039,2928900,2020,2427.71
6/2/2020,2467,2473.530029,2445.310059,2472.409912,2529900,2020,2429.71
6/3/2020,2468.01001,2488,2461.169922,2478.399902,2671000,2020,2431.38
6/4/2020,2477.429932,2507.540039,2450.01001,2460.600098,2948700,2020,2443.45
6/5/2020,2444.51001,2488.649902,2437.129883,2483,3306400,2020,2453.48
6/8/2020,2500.199951,2530,2487.340088,2524.060059,3970700,2020,2467.52
6/9/2020,2529.439941,2626.429932,2525,2600.860107,5176000,2020,2481.1
6/10/2020,2645,2722.350098,2626.26001,2647.449951,4946000,2020,2510.76
6/11/2020,2603.5,2671.379883,2536.22998,2557.959961,5800100,2020,2533.35
6/12/2020,2601.209961,2621.47998,2503.350098,2545.02002,5429600,2020,2553.98
6/15/2020,2526.600098,2584,2508,2572.679932,3865100,2020,2567.66
6/16/2020,2620,2620,2576,2615.27002,3585600,2020,2587.63
6/17/2020,2647.5,2655,2631.820068,2640.97998,2951100,2020,2607.3
6/18/2020,2647.01001,2659.639893,2636.110107,2653.97998,2487800,2020,2607.64
6/19/2020,2678.080078,2697.429932,2659,2675.01001,5777000,2020,2620.07
6/22/2020,2684.5,2715,2669,2713.820068,3208800,2020,2633.95
6/23/2020,2726.02002,2783.110107,2718.040039,2764.409912,4231700,2020,2667.19
6/24/2020,2780,2796,2721,2734.399902,4526600,2020,2693.85
6/25/2020,2739.550049,2756.22998,2712.139893,2754.580078,2968700,2020,2709.19
6/26/2020,2775.060059,2782.570068,2688,2692.870117,6500800,2020,2730.54
6/29/2020,2690.01001,2696.800049,2630.080078,2680.379883,4223400,2020,2732.52
6/30/2020,2685.070068,2769.629883,2675.030029,2758.820068,3769700,2020,2732.62
7/1/2020,2757.98999,2895,2754,2878.699951,6363400,2020,2737.95
7/2/2020,2912.01001,2955.560059,2871.100098,2890.300049,6593400,2020,2759.95
7/6/2020,2934.969971,3059.879883,2930,3057.040039,6880600,2020,2792.52
7/7/2020,3058.550049,3069.550049,2990,3000.120117,5257500,2020,2839.77
7/8/2020,3022.610107,3083.969971,3012.429932,3081.110107,5037600,2020,2895.2
7/9/2020,3115.98999,3193.879883,3074,3182.629883,6388700,2020,2967.02
7/10/2020,3191.76001,3215,3135.699951,3200,5486000,2020,3039.32
7/13/2020,3251.060059,3344.290039,3068.389893,3104,7720400,2020,3095.82
7/14/2020,3089,3127.379883,2950,3084,7231900,2020,3121.5
7/15/2020,3080.22998,3098.350098,2973.179932,3008.870117,5788900,2020,3125.11
7/16/2020,2971.060059,3032,2918.22998,2999.899902,6394200,2020,3116.52
7/17/2020,3009,3024,2948.449951,2961.969971,4761300,2020,3098.69
7/20/2020,3000.199951,3201.360107,2994.02002,3196.840088,7598200,2020,3066.76
7/21/2020,3232.48999,3240.580078,3105.719971,3138.290039,6135000,2020,3063.66
7/22/2020,3125,3150,3065.26001,3099.909912,4104200,2020,3069.66
7/23/2020,3098.27002,3098.27002,2970,2986.550049,5656900,2020,3072.67
7/24/2020,2930,3031.580078,2888,3008.909912,5632400,2020,3065.83
7/27/2020,3062,3098,3015.77002,3055.209961,4170500,2020,3074.66
7/28/2020,3054.27002,3077.090088,2995.76001,3000.330078,3126700,2020,3083.67
7/29/2020,3030.98999,3039.159912,2996.77002,3033.530029,2974100,2020,3050.09
7/30/2020,3014,3092,3005,3051.879883,6128300,2020,3031.59
7/31/2020,3244,3246.820068,3151,3164.679932,8085500,2020,3055.88
